Formula,Complexified_formula,Latex_formula,Latex_complexified_formula
"+,+,*,x_0,x_3,*,x_1,x_4,*,x_2,x_5","[+, +, *, x_0, x_3, *, x_1, x_4, *, x_2, **3, max, x_4, x_2]",x_{0} x_{3} + x_{1} x_{4} + x_{2} x_{5},"x_{0} x_{3} + x_{1} x_{4} + x_{2} \max\left(x_{2}, x_{4}\right)^{3}"
"*,x_0,x_1","[*, log, +, /, x_2, x_1, max, -0.44, x_3, x_1]",x_{0} x_{1},"x_{1} \log{\left(\left|{\max\left(-0.44, x_{3}\right) + \frac{x_{2}}{x_{1}}}\right| \right)}"
"*,x_0,x_1","[**3, max, log, x_4, /, max, x_0, x_3, -, x_4, x_1]",x_{0} x_{1},"\max\left(\frac{\max\left(x_{0}, x_{3}\right)}{- x_{1} + x_{4}}, \log{\left(\left|{x_{4}}\right| \right)}\right)^{3}"
"*,*,*,x_4,x_0,x_1,-,/,1,x_3,/,1,x_2","[*, *, *, x_4, max, x_5, x_0, x_1, -, /, 1.0, x_3, /, 1.0, x_2]",x_{0} x_{1} x_{4} \cdot \left(\frac{1.0}{x_{3}} - \frac{1.0}{x_{2}}\right),"x_{1} x_{4} \cdot \left(\frac{1.0}{x_{3}} - \frac{1.0}{x_{2}}\right) \max\left(x_{0}, x_{5}\right)"
"*,*,x_0,x_1,x_2","[*, *, x_0, x_1, max, /, x_4, 3.02, max, *, x_2, -4.26, +, x_1, -4.05]",x_{0} x_{1} x_{2},"x_{0} x_{1} \max\left(x_{2} \left(-4.26\right), \frac{x_{4}}{3.02}, x_{1} - 4.05\right)"
"/,+,*,x_0,x_2,*,x_1,x_3,+,x_0,x_1","[/, +, *, x_0, x_2, log, **3, x_2, +, x_0, x_1]",\frac{x_{0} x_{2} + x_{1} x_{3}}{x_{0} + x_{1}},\frac{x_{0} x_{2} + \log{\left(\left|{x_{2}^{3}}\right| \right)}}{x_{0} + x_{1}}
"/,x_0,x_1","[log, max, *, /, x_3, 4.08, **3, -2.71, -, x_4, /, x_5, x_1]",\frac{x_{0}}{x_{1}},"\log{\left(\left|{\max\left(\frac{\left(-2.71\right)^{3} x_{3}}{4.08}, x_{4} - \frac{x_{5}}{x_{1}}\right)}\right| \right)}"
"/,1,+,/,1,x_0,/,x_2,x_1","[/, 1.0, +, /, 1.0, x_0, +, /, x_2, x_2, *, -2.31, x_0]",\frac{1.0}{\frac{x_{2}}{x_{1}} + \frac{1.0}{x_{0}}},\frac{1.0}{- 2.31 x_{0} + \frac{x_{2}}{x_{2}} + \frac{1.0}{x_{0}}}
"/,x_0,x_1","[/, /, +, *, x_1, -0.89, *, x_4, x_5, *, x_5, log, -1.01, x_1]",\frac{x_{0}}{x_{1}},\frac{x_{1} \left(-0.89\right) + x_{4} x_{5}}{x_{1} x_{5} \log{\left(1.01 \right)}}
"/,*,*,x_0,x_1,x_2,x_3","[/, *, *, x_0, log, x_2, x_2, x_3]",\frac{x_{0} x_{1} x_{2}}{x_{3}},\frac{x_{0} x_{2} \log{\left(\left|{x_{2}}\right| \right)}}{x_{3}}
"/,x_2,-,1,/,x_1,x_0","[/, x_2, -, 1.0, /, x_1, *, x_3, x_3]",\frac{x_{2}}{1.0 - \frac{x_{1}}{x_{0}}},\frac{x_{2}}{1.0 - \frac{x_{1}}{x_{3} x_{3}}}
"*,/,x_1,*,2,3.14,x_0","[-, +, log, x_1, +, x_3, max, x_2, x_2, +, x_3, *, +, x_5, x_5, /, x_0, x_3]",\frac{x_{0} x_{1}}{2.0 \cdot 3.14},x_{2} + x_{3} - \left(\frac{x_{0} \left(x_{5} + x_{5}\right)}{x_{3}} + x_{3}\right) + \log{\left(\left|{x_{1}}\right| \right)}
"*,*,/,3,2,x_0,x_1","[*, *, /, 3.0, +, x_2, -1.32, x_0, x_1]",\frac{3.0 x_{0} x_{1}}{2.0},\frac{3.0 x_{0} x_{1}}{x_{2} - 1.32}
"*,*,/,1,-,x_0,1,x_1,x_2","[*, *, /, 1.0, -, x_2, 1.0, x_1, x_2]",\frac{1.0 x_{1} x_{2}}{x_{0} - 1.0},\frac{1.0 x_{1} x_{2}}{x_{2} - 1.0}
"/,*,*,x_0,x_3,x_1,x_2","[/, *, *, x_0, x_3, max, **3, x_3, +, x_5, x_4, x_2]",\frac{x_{0} x_{1} x_{3}}{x_{2}},"\frac{x_{0} x_{3} \max\left(x_{3}^{3}, x_{4} + x_{5}\right)}{x_{2}}"
"/,*,*,x_0,x_1,x_2,x_3","[/, **3, *, x_4, *, x_0, x_5, x_3]",\frac{x_{0} x_{1} x_{2}}{x_{3}},\frac{\left(x_{0} x_{4} x_{5}\right)^{3}}{x_{3}}
"*,*,x_0,x_2,x_1","[*, max, *, +, x_5, x_4, -, x_4, -4.18, +, log, 3.9, max, x_2, -0.34, x_1]",x_{0} x_{1} x_{2},"x_{1} \max\left(\left(x_{4} - -4.18\right) \left(x_{4} + x_{5}\right), \max\left(-0.34, x_{2}\right) + \log{\left(3.9 \right)}\right)"
"*,*,*,x_0,x_1,x_2,log,/,x_4,x_3","[*, +, log, **3, x_3, **3, *, x_3, x_1, log, /, x_4, x_3]",x_{0} x_{1} x_{2} \log{\left(\left|{\frac{x_{4}}{x_{3}}}\right| \right)},\left(\left(x_{1} x_{3}\right)^{3} + \log{\left(\left|{x_{3}^{3}}\right| \right)}\right) \log{\left(\left|{\frac{x_{4}}{x_{3}}}\right| \right)}
"/,*,*,x_0,-,x_2,x_1,x_3,x_4","[/, *, *, x_0, max, x_1, x_4, x_3, x_4]",\frac{x_{0} x_{3} \left(- x_{1} + x_{2}\right)}{x_{4}},"\frac{x_{0} x_{3} \max\left(x_{1}, x_{4}\right)}{x_{4}}"
"/,x_0,*,*,*,4,3.14,x_1,x_2","[/, /, +, x_5, **3, x_4, log, x_1, *, *, *, 4.0, 3.14, x_1, x_2]",\frac{x_{0}}{3.14 \cdot 4.0 x_{1} x_{2}},\frac{x_{4}^{3} + x_{5}}{4.0 \cdot 3.14 x_{1} x_{2} \log{\left(\left|{x_{1}}\right| \right)}}
"/,*,/,x_0,x_1,1,+,1,x_2","[/, *, /, log, -4.08, x_1, 1.0, +, 1.0, x_2]",x_{0} \cdot \frac{1}{x_{1}} \cdot 1.0 \cdot \frac{1}{x_{2} + 1.0},\log{\left(4.08 \right)} \frac{1}{x_{1}} \cdot 1.0 \cdot \frac{1}{x_{2} + 1.0}
"/,*,x_0,x_1,*,*,2,3.14,x_2","[-, +, max, *, x_3, x_3, *, x_2, x_1, /, x_2, x_1, -, max, **3, x_3, /, x_0, x_2, -, max, x_4, -2.61, +, x_0, x_0]",\frac{x_{0} x_{1}}{2.0 \cdot 3.14 x_{2}},"- (- (- (x_{0} + x_{0}) + \max\left(-2.61, x_{4}\right)) + \max\left(x_{3}^{3}, \frac{x_{0}}{x_{2}}\right)) + \max\left(x_{1} x_{2}, x_{3} x_{3}\right) + \frac{x_{2}}{x_{1}}"
