parsable_tree,readable_tree,accuracy,interpretability,ground_truth_value,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,split_seed,latex_tree,problem
"[log, x_3]",log(abs(x_3)),19.847490310668945,2.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,\log{\left(\left|{x_{3}}\right| \right)},heating
[x_4],x_4,19.853561401367188,1.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,x_{4},heating
"[+, **3, x_6, x_4]",((x_6)**3+x_4),12.741941452026367,4.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,x_{4} + x_{6}^{3},heating
"[+, log, x_4, **3, +, +, x_1, x_6, max, x_6, x_3]","(log(abs(x_4))+(((x_1+x_6)+max(x_6,x_3)))**3)",11.071175575256348,11.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,"\left(x_{1} + x_{6} + \max\left(x_{3}, x_{6}\right)\right)^{3} + \log{\left(\left|{x_{4}}\right| \right)}",heating
"[+, log, **3, /, x_3, x_1, +, x_6, /, *, -1.92, x_6, log, x_6]",(log(abs(((x_3/x_1))**3))+(x_6+((-1.92*x_6)/log(abs(x_6))))),9.77725315093994,14.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,x_{6} - \frac{1.92 x_{6}}{\log{\left(\left|{x_{6}}\right| \right)}} + \log{\left(\left|{\left(\frac{x_{3}}{x_{1}}\right)^{3}}\right| \right)},heating
"[+, log, **3, /, x_4, x_1, +, /, *, -1.92, x_6, log, x_6, -, +, x_2, x_6, x_3]",(log(abs(((x_4/x_1))**3))+(((-1.92*x_6)/log(abs(x_6)))+((x_2+x_6)-x_3))),8.557511329650879,18.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,x_{2} - x_{3} + x_{6} - \frac{1.92 x_{6}}{\log{\left(\left|{x_{6}}\right| \right)}} + \log{\left(\left|{\left(\frac{x_{4}}{x_{1}}\right)^{3}}\right| \right)},heating
"[+, +, -, max, x_1, x_3, x_4, log, /, x_3, x_1, +, /, *, -1.92, x_6, log, x_6, -, +, x_2, x_6, x_4]","(((max(x_1,x_3)-x_4)+log(abs((x_3/x_1))))+(((-1.92*x_6)/log(abs(x_6)))+((x_2+x_6)-x_4)))",8.336423873901367,23.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,"x_{2} - x_{4} - x_{4} + x_{6} - \frac{1.92 x_{6}}{\log{\left(\left|{x_{6}}\right| \right)}} + \log{\left(\left|{\frac{x_{3}}{x_{1}}}\right| \right)} + \max\left(x_{1}, x_{3}\right)",heating
"[+, +, x_2, log, /, x_4, x_1, +, /, *, -1.92, x_6, log, x_6, x_2]",((x_2+log(abs((x_4/x_1))))+(((-1.92*x_6)/log(abs(x_6)))+x_2)),8.876999855041504,15.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,x_{2} + x_{2} - \frac{1.92 x_{6}}{\log{\left(\left|{x_{6}}\right| \right)}} + \log{\left(\left|{\frac{x_{4}}{x_{1}}}\right| \right)},heating
"[+, +, -, max, x_2, x_3, **3, x_0, log, /, x_3, x_1, +, /, *, -1.92, x_6, log, x_6, -, +, x_2, x_6, x_4]","(((max(x_2,x_3)-(x_0)**3)+log(abs((x_3/x_1))))+(((-1.92*x_6)/log(abs(x_6)))+((x_2+x_6)-x_4)))",7.71713399887085,24.0,1234.0,700,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,"- x_{0}^{3} + x_{2} - x_{4} + x_{6} - \frac{1.92 x_{6}}{\log{\left(\left|{x_{6}}\right| \right)}} + \log{\left(\left|{\frac{x_{3}}{x_{1}}}\right| \right)} + \max\left(x_{2}, x_{3}\right)",heating
"[log, x_3]",log(abs(x_3)),19.847490310668945,2.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,\log{\left(\left|{x_{3}}\right| \right)},heating
[x_4],x_4,19.853561401367188,1.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,x_{4},heating
"[log, -, log, /, 4.38, x_3, x_2]",log(abs((log(abs((4.38/x_3)))-x_2))),14.547411918640137,7.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,\log{\left(\left|{x_{2} - \log{\left(\frac{4.38}{\left|{x_{3}}\right|} \right)}}\right| \right)},heating
"[+, log, x_4, x_2]",(log(abs(x_4))+x_2),17.351360321044922,4.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,x_{2} + \log{\left(\left|{x_{4}}\right| \right)},heating
"[log, **3, /, x_3, x_0]",log(abs(((x_3/x_0))**3)),16.348674774169922,5.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,\log{\left(\left|{\left(\frac{x_{3}}{x_{0}}\right)^{3}}\right| \right)},heating
"[log, **3, -, x_0, log, x_3]",log(abs(((x_0-log(abs(x_3))))**3)),15.065644264221191,6.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,\log{\left(\left|{\left(x_{0} - \log{\left(\left|{x_{3}}\right| \right)}\right)^{3}}\right| \right)},heating
"[-, +, x_2, log, x_3, -, +, x_4, *, x_6, -3.99, +, x_1, x_2]",((x_2+log(abs(x_3)))-((x_4+(x_6*-3.99))-(x_1+x_2))),9.858071327209473,14.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,x_{2} - \left(x_{4} + x_{6} \left(-3.99\right) - \left(x_{1} + x_{2}\right)\right) + \log{\left(\left|{x_{3}}\right| \right)},heating
"[-, +, -, max, x_3, x_2, *, x_6, -3.99, log, x_3, -, /, +, x_3, x_3, -, x_2, x_0, x_6]","(((max(x_3,x_2)-(x_6*-3.99))+log(abs(x_3)))-(((x_3+x_3)/(x_2-x_0))-x_6))",5.041065692901611,20.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,"- \left(-3.99\right) x_{6} - \left(- x_{6} + \frac{x_{3} + x_{3}}{- x_{0} + x_{2}}\right) + \log{\left(\left|{x_{3}}\right| \right)} + \max\left(x_{2}, x_{3}\right)",heating
"[-, +, x_6, log, x_3, -, +, x_0, *, x_6, -3.99, +, -, x_2, x_0, x_3]",((x_6+log(abs(x_3)))-((x_0+(x_6*-3.99))-((x_2-x_0)+x_3))),9.325528144836426,16.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,x_{6} - \left(x_{0} + x_{6} \left(-3.99\right) - \left(- x_{0} + x_{2} + x_{3}\right)\right) + \log{\left(\left|{x_{3}}\right| \right)},heating
"[+, -, max, x_2, x_2, *, x_6, -3.99, log, x_3]","((max(x_2,x_2)-(x_6*-3.99))+log(abs(x_3)))",11.943584442138672,10.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,x_{2} - x_{6} \left(-3.99\right) + \log{\left(\left|{x_{3}}\right| \right)},heating
"[-, +, max, +, x_1, x_6, x_3, log, x_3, -, /, +, x_3, x_3, -, x_2, x_0, x_6]","((max((x_1+x_6),x_3)+log(abs(x_3)))-(((x_3+x_3)/(x_2-x_0))-x_6))",9.152630805969238,18.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,"- (- x_{6} + \frac{x_{3} + x_{3}}{- x_{0} + x_{2}}) + \log{\left(\left|{x_{3}}\right| \right)} + \max\left(x_{3}, x_{1} + x_{6}\right)",heating
"[-, log, x_4, -, +, x_0, *, x_6, -3.99, /, x_4, x_0]",(log(abs(x_4))-((x_0+(x_6*-3.99))-(x_4/x_0))),10.760261535644531,12.0,1234.0,701,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,- (x_{0} + x_{6} \left(-3.99\right) - \frac{x_{4}}{x_{0}}) + \log{\left(\left|{x_{4}}\right| \right)},heating
[x_4],x_4,19.853561401367188,1.0,1234.0,702,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,x_{4},heating
"[-, x_6, *, x_4, -3.1]",(x_6-(x_4*-3.1)),13.383875846862791,5.0,1234.0,702,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,- \left(-3.1\right) x_{4} + x_{6},heating
"[log, /, x_3, x_0]",log(abs((x_3/x_0))),18.225492477416992,4.0,1234.0,702,200,50,200,not_spcified,n_nodes,not_specified,not_specified,heating,40,\log{\left(\left|{\frac{x_{3}}{x_{0}}}\right| \right)},heating
