Formula,Complexified_formula,Latex_formula,Latex_complexified_formula
"+,+,*,x_0,x_3,*,x_1,x_4,*,x_2,x_5","[+, +, *, x_0, x_3, *, x_1, x_4, *, x_2, **3, max, /, x_2, x_1, -, x_4, x_1]",x_{0} x_{3} + x_{1} x_{4} + x_{2} x_{5},"x_{0} x_{3} + x_{1} x_{4} + x_{2} \max\left(\frac{x_{2}}{x_{1}}, - x_{1} + x_{4}\right)^{3}"
"*,x_0,x_1","[*, *, /, max, x_3, x_2, -, -, x_1, x_3, /, -0.05, x_0, -, /, -, x_1, x_5, x_5, x_4, x_1]",x_{0} x_{1},"\frac{x_{1} \left(- x_{4} + \frac{x_{1} - x_{5}}{x_{5}}\right) \max\left(x_{2}, x_{3}\right)}{x_{1} - x_{3} - - \frac{0.05}{x_{0}}}"
"*,x_0,x_1","[*, -, **3, +, x_0, x_2, *, 2.71, +, 1.23, x_2, x_1]",x_{0} x_{1},x_{1} \left(\left(x_{0} + x_{2}\right)^{3} - 2.71 \left(x_{2} + 1.23\right)\right)
"*,*,*,x_4,x_0,x_1,-,/,1,x_3,/,1,x_2","[*, *, *, x_4, x_0, x_1, -, /, 1.0, x_3, /, 1.0, **3, **3, 0.61]",x_{0} x_{1} x_{4} \cdot \left(\frac{1.0}{x_{3}} - \frac{1.0}{x_{2}}\right),x_{0} x_{1} x_{4} \left(- \frac{1.0}{\left(0.61^{3}\right)^{3}} + \frac{1.0}{x_{3}}\right)
"*,*,x_0,x_1,x_2","[*, -, max, **3, max, 1.04, x_3, *, **3, x_4, /, x_5, x_1, log, log, x_2, x_2]",x_{0} x_{1} x_{2},"x_{2} \left(- \log{\left(\left|{\log{\left(\left|{x_{2}}\right| \right)}}\right| \right)} + \max\left(\frac{x_{4}^{3} x_{5}}{x_{1}}, \max\left(1.04, x_{3}\right)^{3}\right)\right)"
"/,+,*,x_0,x_2,*,x_1,x_3,+,x_0,x_1","[/, +, *, x_0, x_2, **3, max, x_0, x_1, +, x_0, x_1]",\frac{x_{0} x_{2} + x_{1} x_{3}}{x_{0} + x_{1}},"\frac{x_{0} x_{2} + \max\left(x_{0}, x_{1}\right)^{3}}{x_{0} + x_{1}}"
"/,x_0,x_1","[/, x_0, +, *, log, x_0, /, max, x_2, x_0, x_3, max, /, *, x_2, x_1, 0.12, max, x_3, 2.35]",\frac{x_{0}}{x_{1}},"\frac{x_{0}}{\max\left(2.35, x_{3}, \frac{x_{1} x_{2}}{0.12}\right) + \frac{\log{\left(\left|{x_{0}}\right| \right)} \max\left(x_{0}, x_{2}\right)}{x_{3}}}"
"/,1,+,/,1,x_0,/,x_2,x_1","[/, 1.0, -, +, x_3, max, x_2, x_0, /, *, +, x_5, x_5, /, x_0, x_3, *, /, x_5, x_5, *, x_2, x_4]",\frac{1.0}{\frac{x_{2}}{x_{1}} + \frac{1.0}{x_{0}}},"\frac{1.0}{- \frac{x_{0} \left(x_{5} + x_{5}\right)}{x_{3} \frac{x_{2} x_{4} x_{5}}{x_{5}}} + x_{3} + \max\left(x_{0}, x_{2}\right)}"
"/,x_0,x_1","[/, **3, /, +, log, x_2, **3, x_4, /, -2.06, -, 0.57, x_2, x_1]",\frac{x_{0}}{x_{1}},\frac{\left(\frac{x_{4}^{3} + \log{\left(\left|{x_{2}}\right| \right)}}{\left(-1\right) 2.06 \cdot \frac{1}{0.57 - x_{2}}}\right)^{3}}{x_{1}}
"/,*,*,x_0,x_1,x_2,x_3","[/, *, *, x_0, log, -, x_0, x_0, x_2, x_3]",\frac{x_{0} x_{1} x_{2}}{x_{3}},\frac{x_{0} x_{2} \log{\left(0 \right)}}{x_{3}}
"/,x_2,-,1,/,x_1,x_0","[/, x_2, -, 1.0, max, **3, x_3, log, max, x_1, -4.06]",\frac{x_{2}}{1.0 - \frac{x_{1}}{x_{0}}},"\frac{x_{2}}{1.0 - \max\left(x_{3}^{3}, \log{\left(\left|{\max\left(-4.06, x_{1}\right)}\right| \right)}\right)}"
"*,/,x_1,*,2,3.14,x_0","[*, /, x_1, log, log, -2.5, x_0]",\frac{x_{0} x_{1}}{2.0 \cdot 3.14},\frac{x_{0} x_{1}}{\log{\left(\log{\left(2.5 \right)} \right)}}
"*,*,/,3,2,x_0,x_1","[*, **3, max, x_3, /, -, x_0, x_2, x_4, x_1]",\frac{3.0 x_{0} x_{1}}{2.0},"x_{1} \max\left(x_{3}, \frac{x_{0} - x_{2}}{x_{4}}\right)^{3}"
"*,*,/,1,-,x_0,1,x_1,x_2","[*, /, +, log, **3, x_4, log, x_1, +, -1.58, /, x_1, +, x_4, x_1, x_2]",\frac{1.0 x_{1} x_{2}}{x_{0} - 1.0},\frac{x_{2} \left(\log{\left(\left|{x_{1}}\right| \right)} + \log{\left(\left|{x_{4}^{3}}\right| \right)}\right)}{\frac{x_{1}}{x_{1} + x_{4}} - 1.58}
"/,*,*,x_0,x_3,x_1,x_2","[/, -, +, max, *, x_3, x_3, *, x_2, x_1, /, x_2, x_1, -, max, **3, x_3, /, x_0, x_2, -, max, x_4, -2.61, +, x_0, x_0, x_2]",\frac{x_{0} x_{1} x_{3}}{x_{2}},"\frac{- (- (- (x_{0} + x_{0}) + \max\left(-2.61, x_{4}\right)) + \max\left(x_{3}^{3}, \frac{x_{0}}{x_{2}}\right)) + \max\left(x_{1} x_{2}, x_{3} x_{3}\right) + \frac{x_{2}}{x_{1}}}{x_{2}}"
